keyword,month,kw_count_month,kw_sent_sum,kw_sent_pos_sum,global_total,kw_share_global,kw_sent_share_global,kw_pos_sent_share_global
Junkfood,2019-01-01,5,2.3875,3.2238999999999995,22,0.22727272727272727,0.10852272727272728,0.14654090909090908
Junkfood,2019-02-01,4,2.0404999999999998,2.9382,20,0.2,0.10202499999999999,0.14691
Junkfood,2019-03-01,5,2.0671,3.0604,17,0.29411764705882354,0.12159411764705882,0.1800235294117647
Junkfood,2019-04-01,7,4.8579,4.8579,15,0.4666666666666667,0.32386,0.32386
Junkfood,2019-05-01,7,5.4848,5.4848,24,0.2916666666666667,0.22853333333333334,0.22853333333333334
Junkfood,2019-06-01,7,4.5148,4.5148,18,0.3888888888888889,0.2508222222222222,0.2508222222222222
Junkfood,2019-07-01,9,-1.7797,2.3085,18,0.5,-0.09887222222222222,0.12825
Junkfood,2019-08-01,9,8.0492,8.049199999999999,17,0.5294117647058824,0.4734823529411765,0.4734823529411764
Junkfood,2019-09-01,6,2.8937,3.4192,19,0.3157894736842105,0.1523,0.1799578947368421
Junkfood,2019-10-01,4,0.13529999999999998,1.9828000000000001,15,0.26666666666666666,0.009019999999999999,0.13218666666666667
Junkfood,2019-11-01,6,3.9336,4.0616,26,0.23076923076923078,0.1512923076923077,0.15621538461538462
Junkfood,2019-12-01,4,2.7218999999999998,2.7218999999999998,12,0.3333333333333333,0.22682499999999997,0.22682499999999997
Junkfood,2020-01-01,6,1.0008,2.5927,19,0.3157894736842105,0.05267368421052631,0.13645789473684208
Junkfood,2020-02-01,9,3.2046,4.7664,26,0.34615384615384615,0.12325384615384616,0.18332307692307692
Junkfood,2020-03-01,7,0.30000000000000004,1.9157000000000002,25,0.28,0.012000000000000002,0.076628
Junkfood,2020-04-01,6,2.8017,3.6815,23,0.2608695652173913,0.12181304347826086,0.16006521739130436
Junkfood,2020-05-01,4,3.1481,3.1481,15,0.26666666666666666,0.20987333333333333,0.20987333333333333
Junkfood,2020-06-01,10,3.9386,5.316,15,0.6666666666666666,0.2625733333333333,0.3544
Junkfood,2020-07-01,3,0.9493,1.426,17,0.17647058823529413,0.055841176470588234,0.08388235294117646
Junkfood,2020-08-01,5,2.3703000000000003,2.7103,20,0.25,0.11851500000000001,0.135515
Junkfood,2020-09-01,8,3.2944,4.532299999999999,25,0.32,0.131776,0.18129199999999998
